CODPARC;int;no;4;"10   ";"0    ";no;(n/a);(n/a);NULL
CODVEND;smallint;no;2;"5    ";"0    ";no;(n/a);(n/a);NULL
NOMEPARC;char;no;40;"     ";"     ";no;no;no;Latin1_General_CI_AI
RAZAOSOCIAL;char;no;40;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
TIPPESSOA;char;no;1;"     ";"     ";no;no;no;Latin1_General_CI_AI
CODPARCMATRIZ;int;no;4;"10   ";"0    ";yes;(n/a);(n/a);NULL
CODEND;int;no;4;"10   ";"0    ";no;(n/a);(n/a);NULL
NUMEND;char;no;6;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
COMPLEMENTO;char;no;30;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
CODBAI;int;no;4;"10   ";"0    ";no;(n/a);(n/a);NULL
CODCID;int;no;4;"10   ";"0    ";no;(n/a);(n/a);NULL
CODREG;int;no;4;"10   ";"0    ";no;(n/a);(n/a);NULL
CEP;char;no;8;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
CAIXAPOSTAL;char;no;10;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
TELEFONE;varchar;no;13;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
RAMAL;smallint;no;2;"5    ";"0    ";yes;(n/a);(n/a);NULL
FAX;varchar;no;13;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
EMAIL;char;no;80;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
DTCAD;datetime;no;8;"     ";"     ";no;(n/a);(n/a);NULL
DTALTER;datetime;no;8;"     ";"     ";no;(n/a);(n/a);NULL
DTNASC;datetime;no;8;"     ";"     ";yes;(n/a);(n/a);NULL
DTULTCONTATO;datetime;no;8;"     ";"     ";yes;(n/a);(n/a);NULL
DTULTNEGOC;datetime;no;8;"     ";"     ";yes;(n/a);(n/a);NULL
IDENTINSCESTAD;char;no;16;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
INSCESTADNAUF;char;no;16;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
CGC_CPF;char;no;14;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
CODTAB;smallint;no;2;"5    ";"0    ";yes;(n/a);(n/a);NULL
PRAZOCONTATO;smallint;no;2;"5    ";"0    ";yes;(n/a);(n/a);NULL
PRAZOPAG;smallint;no;2;"5    ";"0    ";yes;(n/a);(n/a);NULL
TOLERINADIMP;smallint;no;2;"5    ";"0    ";yes;(n/a);(n/a);NULL
CLIENTE;char;no;1;"     ";"     ";no;no;no;Latin1_General_CI_AI
FORNECEDOR;char;no;1;"     ";"     ";no;no;no;Latin1_General_CI_AI
TRANSPORTADORA;char;no;1;"     ";"     ";no;no;no;Latin1_General_CI_AI
VENDEDOR;char;no;1;"     ";"     ";no;no;no;Latin1_General_CI_AI
AGENCIA;char;no;1;"     ";"     ";no;no;no;Latin1_General_CI_AI
CODTIPPARC;int;no;4;"10   ";"0    ";no;(n/a);(n/a);NULL
CODCTABCO;char;no;17;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
CODAGE;char;no;5;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
CODBCO;smallint;no;2;"5    ";"0    ";no;(n/a);(n/a);NULL
NOMEAGE;char;no;20;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
CODCTACTB;int;no;4;"10   ";"0    ";yes;(n/a);(n/a);NULL
CODCTACTB2;int;no;4;"10   ";"0    ";yes;(n/a);(n/a);NULL
CLASSIFICMS;char;no;1;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
TARE;char;no;1;"     ";"     ";no;no;no;Latin1_General_CI_AI
IPIINCICMS;char;no;1;"     ";"     ";no;no;no;Latin1_General_CI_AI
RETEMISS;char;no;1;"     ";"     ";no;no;no;Latin1_General_CI_AI
RETEMINSS;char;no;1;"     ";"     ";no;no;no;Latin1_General_CI_AI
CONTACESSO;char;no;30;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
SITUACAO;char;no;1;"     ";"     ";yes;no;yes;Latin1_General_CI_AI
